Species,v,kap,kap_R,p_M,k_J,kap_G,k,g,f_tL,p_Am,w,E_m,t_0
Nototodarus sloanii,0.1887,0.95,0.95,19.65,0.002,0.802,0.5575,,,,,,
Todarodes angolensis,0.093,0.8302,0.95,71.04,0.002,0.8026,0.1541,,,,,,
Todarodes sagittatus,0.003001,0.5431,0.95,33.98,0.002,0.8017,0.3226,,,,,,
Todaropsis eblanae,0.01459,0.9816,0.95,1126.0,0.002,0.7998,0.009756,,,,,,
Thysanoteuthis rhombus,0.02651,0.74,0.95,257.2,0.002,0.8017,0.04261,,,,,,
Sepia apama,0.01058,0.9773,0.95,21.29,0.001396,0.8013,0.3596,,,,,,
Sepia elegans,0.02278,0.9215,0.95,32.62,0.002,0.8023,0.3358,,,,,,
Sepia officinalis,0.02177,0.6919,0.95,361.5,0.002,0.7955,,,,,,,
Sepia orbignyana,0.02842,0.5247,0.95,1000.0,0.002,0.8007,0.01097,,,,,,
Sepia pharaonis,0.0728,0.9993,0.95,24.06,0.002,0.7994,0.4569,,,,,,
Sepiella inermis,0.0259,0.7383,0.95,882.4,0.002,0.8011,0.01243,,,,,,
Sepiola atlantica,0.0139,0.7693,0.95,17.65,0.002,0.8001,0.6223,,,,,,
Sepietta obscura,0.01092,0.9111,0.95,211.5,0.002,0.8006,0.0519,,,,,,
Euprymna hyllebergi,0.01495,0.7004,0.95,21.3,0.002,0.8005,0.5154,,,,,,
Rossia macrosoma,0.01023,0.9794,0.95,418.6,0.002,0.7993,0.02626,,,,,,
Rossia pacifica,0.01023,0.5772,0.95,20.14,0.002,0.7997,0.5456,,,,,,
Spirula spirula,0.01869,0.8318,0.95,896.0,0.002,0.7999,,,,,,,
Argonauta argo,0.02556,0.4688,0.95,1384.0,0.002,0.8018,,,,,,,
Argonauta hians,0.03105,0.9818,0.95,712.7,0.002,0.8011,,,,,,,
Japetella diaphana,0.02215,0.901,0.95,369.4,0.002,0.7892,0.03014,,,,,,
Bathypolypus arcticus,0.007272,0.9887,0.95,812.8,0.002,0.7999,0.01351,,,,,,
Eledone cirrhosa,0.03137,0.9803,0.95,552.8,0.002,0.8019,,,,,,,
Enteroctopus dofleini,0.02195,0.9849,0.95,35.36,0.002,0.8027,0.3095,,,,,,
Enteroctopus megalocyathus,0.008351,0.7251,0.95,536.4,0.002,0.7997,,,,,,,
Muusoctopus rigbyae,0.02576,0.7107,0.95,1000.0,0.002,0.7991,0.011,,,,,,
Megaleledone setebos,0.02198,0.9991,0.95,39.04,0.002,0.8016,0.2807,,,,,,
Pareledone aequipapillae,0.05695,0.8996,0.95,1496.0,0.002,0.7979,0.007361,,,,,,
Pareledone charcoti,0.04014,0.8466,0.95,1000.0,0.002,0.8003,0.01098,,,,,,
Amphioctopus aegina,0.005094,0.9855,0.95,58.39,0.002,0.8037,0.1873,,,,,,
Amphioctopus burryi,0.01973,0.9998,0.95,496.0,0.002,0.7999,0.02215,,,,,,
Amphioctopus fangsiao,0.07973,0.9,0.95,256.0,0.002,0.7953,0.04315,,,,,,
Hapalochlaena maculosa,0.02301,0.9659,0.95,293.1,0.002,0.7985,0.03754,,,,,,
Octopus bimaculoides,0.02101,0.8424,0.95,134.4,0.002,0.7996,0.08175,,,,,,
Octopus briareus,0.01542,0.9704,0.95,363.2,0.002,0.802,0.03017,,,,,,
Octopus cyanea,0.0016,0.4676,0.95,2502.0,0.002,0.8036,0.00437,,,,,,
Octopus joubini,0.0171,0.7374,0.95,272.1,0.002,0.8069,0.04003,,,,,,
Octopus maya,0.003684,0.9846,0.95,43.65,0.001,0.802,0.1255,,,,,,
Octopus mimus,0.03995,0.7502,0.95,8530.0,0.002,0.8007,0.001287,,,,,,
Octopus pallidus,0.01732,0.9427,0.95,210.3,0.002,0.7909,0.05283,,,,,,
Octopus tehuelchus,0.01879,0.9554,0.95,427.9,0.002,0.7946,,,,,,,
Octopus tetricus,0.02509,0.6481,0.95,100.2,0.002,0.798,0.1099,,,,,,
Octopus vulgaris,0.01275,0.9941,0.95,55.64,0.002,0.8158,0.1936,,,,,,
Paroctopus digueti,0.01949,0.9724,0.95,589.7,0.002,0.8,0.01863,,,,,,
Pteroctopus tetracirrhus,0.04253,0.9219,0.95,3294.0,0.002,0.8001,0.003334,,,,,,
Robsonella fontaniana,0.02048,0.8277,0.95,178.0,0.002,0.8005,0.06165,,,,,,
Robsonella huttoni,0.01957,0.9483,0.95,1548.0,0.002,0.8002,0.007095,,,,,,
Vampyroteuthis infernalis,0.02241,0.6542,0.95,997.5,0.002,0.8005,0.011,,,,,,
Aspidiophorus polystictos,0.005143,0.57,0.95,981.4,0.002,0.8003,,,,,,,
Magellania fragilis,0.01189,0.7936,0.95,1.865,0.0003053,0.7993,0.3,,,,,,
Phoronis pallida,0.01994,0.9998,0.475,6.384,0.001044,0.798,0.3,,,,,,
Phoronis psammophila,0.02,0.9999,0.475,13.38,0.002153,0.7987,0.2951,,,,,,
Flustra foliacea,0.002496,0.8,0.475,17.96,0.002,0.7998,,,,,,,
Isosecuriflustra tenuis,0.01995,0.95,0.475,17.94,0.002,0.8001,,,,,,,
Nematoflustra flagellata,0.01996,0.95,0.475,17.73,0.002,0.8,,,,,,,
Cellarinella watersi,0.01658,0.95,0.475,12.85,0.002,0.7989,,,,,,,
Myzostoma cirriferum,0.01678,0.3111,0.475,174.6,0.002,0.8015,0.04784,,,,,,
Ophryotrocha labronica,0.02031,0.8785,0.95,407.4,0.002,0.8003,,,,,,,
Hediste diversicolor,0.01123,0.9602,0.95,25.91,0.002,0.7779,,,,,,,
Neanthes arenaceodentata,0.04419,0.9899,0.475,426.2,0.002,0.8035,,,,,,,
Capitella teleta,0.25,0.8638,0.95,410.0,0.002,0.8046,,,,,,,
Arenicola marina,0.009794,0.9181,0.95,15.82,0.002,0.811,,,,,,,
Urechis caupo,0.0294,0.5,0.95,12.28,0.002,0.7922,0.172,,,,,,
Bimastos rubidus,0.05365,0.3469,0.475,432.8,0.002,0.8007,,,,,,,
Dendrobaena octaedra,0.02081,0.7986,0.475,4984.0,0.002,0.8002,,,,,,,
Lumbricus terrestris,0.05365,0.9543,0.475,1360.0,0.002,0.8007,,,,,,,
Lumbricus rubellus,0.02337,0.985,0.475,371.6,0.002,0.8002,,,,,,,
Octolasion cyaneum,0.02294,0.9669,0.475,5070.0,0.002,0.8003,,,,,,,
Aporrectodea caliginosa,0.01851,0.4373,0.475,1680.0,0.002793,0.7999,,,,,,,
Aporrectodea longa,0.04206,0.9551,0.475,1476.0,0.002,0.8003,,,,,,,
Eisenia andrei,0.07365,0.554,0.475,1467.0,0.002,0.8007,,,,,,,
Eisenia fetida,0.01477,0.5756,0.475,4741.0,0.002,0.8004,,,,,,,
Branchiura sowerbyi,0.008633,0.9594,0.475,2241.0,0.002,0.8007,,,,,,,
Barbronia weberi,0.02332,0.6397,0.95,4050.0,0.002,0.7992,,,,,,,
Theromyzon tessulatum,0.02023,0.4996,0.475,806.2,0.002,0.8001,,,,,,,
Schmidtea polychroa,0.01004,0.9998,0.475,60.94,0.002,0.802,,,,,,,
Baikaiobia guttata,0.01735,0.9939,0.475,350.3,0.002,0.8007,,,,,,,
Branchotenthes octohamatus,0.0004011,0.9947,0.475,21.3,0.002,0.8011,,,,,,,
Lineus viridis,0.024,0.8572,0.475,106.6,0.002,0.8024,,,,,,,
Ferosagitta hispida,0.01451,0.597,0.475,629.3,0.002,0.8013,,,,,,,
Caenorhabditis elegans,0.0893,0.85,0.95,2652.0,0.002,0.8086,,,,,,,
Macrobiotus hufelandii,0.001032,0.8942,0.95,28.79,0.002,0.8038,,,,,,,
Hypsibius convergens,0.001776,0.9409,0.95,416.7,0.002,0.8038,,,,,,,
Ramazzottius oberhaeuseri,0.001139,0.9766,0.95,387.1,0.002,0.8011,,,,,,,
Milnesium tardigradum,0.005628,0.9305,0.95,40.13,0.002,0.8109,,,,,,,
Pycnogonum litorale,0.0005472,0.9517,0.95,244.0,0.002,0.8006,,,,,,,
Smeringurus mesaensis,0.0389,0.9433,0.95,30.26,0.002,0.7997,0.2939,,,,,,
Grosphus hirtus,0.01429,0.9043,0.95,18.97,0.002,0.7991,0.4693,,,,,,
Centruroides gracilis,0.02427,0.9246,0.95,53.54,0.002,0.802,0.1657,,,,,,
Rhizoglyphus robini,0.006,0.486,0.95,922.6,0.002,0.8083,,,,,,,
Alaskozetes antarcticus,0.07972,0.8612,0.95,352.4,0.002,0.8442,,,,,,,
Aglaoctenus lagotis,0.006203,0.8573,0.95,25.15,0.002,0.8019,,,,,,,
Tetragnatha versicolor,0.02259,0.5569,0.95,215.3,0.002,0.8009,,,,,,,
Artemia monica,0.04136,0.8351,0.95,5864.0,0.002,0.8011,0.001514,,,,,,
Artemia salina,0.01599,0.8901,0.95,413.5,0.002,0.7981,0.02156,,,,,,
Artemia urmiana,0.02184,0.9793,0.95,3355.0,0.002,0.8019,0.002644,,,,,,
Branchinecta gigas,0.02508,0.998,0.95,1061.0,0.002,0.7846,0.008547,,,,,,
Branchinecta lindahli,0.0363,0.9339,0.95,7330.0,0.002,0.8018,0.00121,,,,,,
Branchinecta mackini,0.03533,0.9915,0.95,5249.0,0.002,0.7999,0.001694,,,,,,
Branchinecta orientalis,0.03533,0.961,0.95,5249.0,0.002,0.8047,0.001684,,,,,,
Branchipus schaefferi,0.02103,0.9142,0.95,1614.0,0.002,0.8,0.005507,,,,,,
Chirocephalus carnuntanus,0.02,0.9479,0.95,8143.0,0.002,0.8007,0.001091,,,,,,
Chirocephalus diaphanus,0.01215,0.9995,0.95,1146.0,0.002,0.8012,0.007748,,,,,,
Chirocephalus kerkyrensis,0.022,0.9551,0.95,6422.0,0.002,0.8007,0.001383,,,,,,
Chirocephalus ruffoi,0.03168,0.9874,0.95,4610.0,0.002,0.7997,0.001929,,,,,,
Eubranchipus bundyi,0.134,0.9932,0.95,8400.0,0.002,0.7998,0.001059,,,,,,
Eubranchipus grubii,0.02089,0.975,0.95,9951.0,0.002,0.8001,0.0008934,,,,,,
Eubranchipus holmanii,0.02514,0.9743,0.95,3922.0,0.002,0.8039,0.002256,,,,,,
Eubranchipus oregonus,0.02592,0.9819,0.95,5157.0,0.002,0.8042,0.001715,,,,,,
Eubranchipus serratus,0.02516,0.8955,0.95,5044.0,0.002,0.7992,0.001765,,,,,,
Eubranchipus vernalis,0.02514,0.9904,0.95,5974.0,0.002,0.8003,0.001488,,,,,,
Streptocephalus proboscideus,0.02632,0.9912,0.95,973.8,0.002,0.797,0.009165,,,,,,
Streptocephalus sealii,0.08577,0.9597,0.95,8835.0,0.002,0.7996,0.001007,,,,,,
Streptocephalus siamensis,0.04766,0.995,0.95,2251.0,0.002,0.8002,0.003949,,,,,,
Streptocephalus sirindhornae,0.0187,0.9913,0.95,3729.0,0.002,0.8013,0.00238,,,,,,
Streptocephalus torvicornis,0.01582,0.9399,0.95,783.8,0.002,0.8027,0.01131,,,,,,
Streptocephalus vitreus,0.04081,0.9882,0.95,8740.0,0.002,0.7996,0.001018,,,,,,
Tanymastigites perrieri,0.02986,0.9899,0.95,4905.0,0.002,0.8,0.001812,,,,,,
Tanymastix stagnalis,0.01624,0.9954,0.95,5103.0,0.002,0.8011,0.00174,,,,,,
Branchinella kugenumaensis,0.01022,0.9961,0.95,8631.0,0.002,0.7981,0.001033,,,,,,
Branchinella thailandensis,0.03234,0.9977,0.95,8283.0,0.002,0.7972,0.001077,,,,,,
Phallocryptus spinosus,0.02408,0.9946,0.95,1740.0,0.002,0.7983,0.005119,,,,,,
Thamnocephalus platyurus,0.02308,0.9955,0.95,9260.0,0.002,0.7999,0.0009604,,,,,,
Ceriodaphnia dubia,0.01015,0.4562,0.95,1306.0,0.002,0.7998,0.006809,,,,,,
Ceriodaphnia pulchella,0.02058,0.9987,0.95,1049.0,0.002,0.8001,0.008475,,,,,,
Ceriodaphnia reticulata,0.02413,0.4251,0.95,1680.0,0.002,0.8012,0.005286,,,,,,
Ceriodaphnia silvestrii,0.02595,0.545,0.95,3913.0,0.002,0.8067,0.002253,,,,,,
Daphnia carinata,0.02558,0.2581,0.95,1548.0,0.002,0.8054,0.005706,,,,,,
Daphnia cephalata,0.02595,0.8068,0.95,1945.0,0.002,0.8,0.004571,,,,,,
Daphnia magna,0.1858,0.5809,0.95,1200.0,0.2537,0.9034,0.9302,,,,,,
Daphnia projecta,0.01746,0.8279,0.95,1714.0,0.002,0.7996,0.005191,,,,,,
Daphnia similoides,0.03318,0.89,0.95,26780.0,0.002,0.7992,0.0003323,,,,,,
Daphnia similus,0.02698,0.9686,0.95,1213.0,0.002,0.7997,0.007334,,,,,,
Daphnia ambigua,0.0189,0.5603,0.95,9597.0,0.002,0.7992,0.0009274,,,,,,
Daphnia cucullata,0.03627,0.73,0.95,1400.0,0.002,0.8083,0.006286,,,,,,
Daphnia galatea,0.02175,0.62,0.95,2348.0,0.002,0.8001,0.003787,,,,,,
Daphnia hyalina,0.08,0.59,0.95,1600.0,0.002,0.8083,0.0055,,,,,,
Daphnia longispina,0.02046,0.5568,0.95,5687.0,0.002,0.8009,0.001562,,,,,,
Daphnia lumholtzi,0.02491,0.7832,0.95,8684.0,0.002,0.8005,0.001023,,,,,,
Daphnia middendorffiana,0.02044,0.9757,0.95,1336.0,0.002,0.8001,0.006657,,,,,,
Daphnia obtusa,0.0171,0.7181,0.95,3162.0,0.002,0.8002,0.002811,,,,,,
Daphnia parvula,0.02127,0.6232,0.95,8209.0,0.002,0.8004,0.001083,,,,,,
Daphnia pulex,0.04889,0.4378,0.95,1599.0,0.002,0.7996,0.005563,,,,,,
Daphnia schoedleri,0.05015,0.3821,0.95,1714.0,0.002,0.8027,0.005171,,,,,,
Scapholeberis armata,0.01988,0.4224,0.95,2028.0,0.002,0.798,0.004395,,,,,,
Scapholeberis kingii,0.0335,0.308,0.95,2155.0,0.002,0.8053,0.004098,,,,,,
Scapholeberis mucronata,0.0365,0.905,0.95,1400.0,0.002,0.8057,0.006306,,,,,,
Simocephalus acutirostratus,0.03369,0.6772,0.95,1459.0,0.002,0.8017,0.006083,,,,,,
Simocephalus exspinosus,0.0276,0.3027,0.95,1523.0,0.002,0.8065,0.00579,,,,,,
Simocephalus serrulatus,0.04701,0.935,0.95,1800.0,0.002,0.8037,0.004917,,,,,,
Simocephalus vetulus,0.01797,0.92,0.95,1829.0,0.002,0.8002,0.004859,,,,,,
Moina macrocopa,0.02212,0.5235,0.95,11600.0,0.002,0.8,0.0007665,,,,,,
Moina micrura,0.02808,0.7264,0.95,10560.0,0.002,0.7991,0.0008428,,,,,,
Moina weismanni,0.02597,0.4623,0.95,2796.0,0.002,0.8012,0.003176,,,,,,
Macrothrix flabelligera,0.02216,0.6235,0.95,2592.0,0.002,0.7973,0.003442,,,,,,
Macrothrix triserialis,0.0241,0.4651,0.95,2251.0,0.002,0.801,0.003945,,,,,,
Eurycercus lamellatus,0.03711,0.8983,0.95,1695.0,0.002,0.7999,0.005246,,,,,,
Eurycercus vernalis,0.0273,0.7628,0.95,2784.0,0.002,0.8001,0.003193,,,,,,
Acroperus harpae,0.02072,0.9225,0.95,802.8,0.002,0.8001,0.01107,,,,,,
Alona iheringula,0.01503,0.6458,0.95,5191.0,0.002,0.8001,0.001713,,,,,,
Coronatella rectangula,0.0141,0.7265,0.95,2861.0,0.002,0.8003,0.003107,,,,,,
Euryalona orientalis,0.01979,0.6858,0.95,749.5,0.002,0.8003,0.01186,,,,,,
Leydigia acanthocercoides,0.02954,0.9236,0.95,5035.0,0.002,0.8014,0.001763,,,,,,
Leydigia ciliata,0.01858,0.8014,0.95,651.3,0.002,0.7991,0.01367,,,,,,
Leydigia leydigi,0.02554,0.6607,0.95,1673.0,0.002,0.8014,0.005304,,,,,,
Oxyurella longicaudis,0.02078,0.6367,0.95,1028.0,0.002,0.8002,0.00865,,,,,,
Alonella excisa,0.01777,0.7443,0.95,2512.0,0.002,0.8019,0.003532,,,,,,
Chydorus pubescens,0.01321,0.5687,0.95,5026.0,0.002,0.8,0.001769,,,,,,
Chydorus sphaericus,0.01448,0.9454,0.95,2892.0,0.002,0.8083,0.003043,,,,,,
Disparalona rostrata,0.02567,0.7312,0.95,3890.0,0.002,0.7987,0.002289,,,,,,
Pleuroxus aduncus,0.0218,0.7882,0.95,1682.0,0.002,0.8001,0.005285,,,,,,
Pleuroxus striatus,0.02666,0.8126,0.95,1492.0,0.002,0.8083,0.005899,,,,,,
Bosmina fatalis,0.02364,0.5683,0.95,1400.0,0.002,0.8012,0.006341,,,,,,
Bosmina longirostris,0.02278,0.4838,0.95,1400.0,0.002,0.8012,0.006341,,,,,,
Bosminopsis deitersi,0.02228,0.8733,0.95,2594.0,0.002,0.8013,0.003423,,,,,,
Eubosmina coregoni,0.02296,0.4882,0.95,1400.0,0.002,0.8012,0.006341,,,,,,
Ilyocryptus spinifer,0.02066,0.5964,0.95,1671.0,0.002,0.8002,0.005319,,,,,,
Bythotrephes longimanus,0.05559,0.4834,0.95,4838.0,0.002,0.8029,0.001831,,,,,,
Diaphanosoma brachyurum,0.02096,0.6913,0.95,1226.0,0.002,0.7994,0.007257,,,,,,
Diaphanosoma excisum,0.02738,0.7108,0.95,2196.0,0.002,0.8002,0.004048,,,,,,
Diaphanosoma sarsi,0.02529,0.4626,0.95,2196.0,0.002,0.8007,0.004046,,,,,,
Diaphanosoma senegal,0.05514,0.8244,0.95,3746.0,0.002,0.8066,0.002354,,,,,,
Latonopsis australis,0.02073,0.664,0.95,2373.0,0.002,0.7997,0.003748,,,,,,
Penilia avirostris,0.02574,0.8078,0.95,1400.0,0.002,0.7998,0.006352,,,,,,
Pseudosida bidentata,0.02035,0.7219,0.95,1739.0,0.002,0.8001,0.005113,,,,,,
Pseudosida ramosa,0.01621,0.772,0.95,912.5,0.002,0.8002,0.009742,,,,,,
Sida crystallina,0.02574,0.9945,0.95,1400.0,0.002,0.7996,0.006354,,,,,,
Leptodora kindtii,0.02379,0.8331,0.95,165.2,0.002,0.7941,0.009566,,,,,,
Cyclestheria hislopi,0.03494,0.9619,0.95,1905.0,0.002,0.7991,0.004673,,,,,,
Lynceus brachyurus,0.02024,0.974,0.95,3770.0,0.002,0.8,0.002359,,,,,,
Cyzicus grubei,0.02833,0.936,0.95,2723.0,0.002,0.7993,0.003268,,,,,,
Eulimnadia braueriana,0.01989,0.9005,0.95,6844.0,0.002,0.8005,0.001298,,,,,,
Eulimnadia diversa,0.02609,0.6418,0.95,4990.0,0.002,0.802,0.001777,,,,,,
Eulimnadia texana,0.08613,0.8565,0.95,2019.0,0.002,0.8002,0.004403,,,,,,
Lepidurus arcticus,0.1279,0.7666,0.475,8295.0,0.002,0.8004,0.001071,,,,,,
Triops granarius,0.0251,0.79,0.475,1767.0,0.002,0.7998,0.005034,,,,,,
Triops longicaudatus,0.06028,0.99,0.95,3382.0,0.002,0.796,0.002642,,,,,,
Pollicipes polymerus,0.02182,0.9855,0.475,146.6,0.002,0.8083,,,,,,,
Notobalanus flosculus,0.02043,0.98,0.475,601.5,0.002,0.8083,,,,,,,
Amphibalanus amphitrite,0.02012,0.9917,0.475,158.6,0.002,0.8083,,,,,,,
Austrominius modestus,0.01312,0.9107,0.475,108.2,0.002,0.8083,,,,,,,
Nitokra spinipes,0.01871,0.9941,0.95,19.45,0.002,0.8007,0.4567,,,,,,
Tigriopus brevicornis,0.02136,0.1209,0.95,21.48,0.002,0.8026,,,,,,,
Tachidius discipes,0.01455,0.9997,0.95,3451.0,0.002045,0.8025,0.002626,,,,,,
Acanthocyclops robustus,0.01191,0.9198,0.95,1391.0,0.002,0.7996,0.006395,,,,,,
Cyclops vicinus,0.02723,0.9967,0.95,1400.0,0.002,0.8083,0.006286,,,,,,
Mesocyclops leukarti,0.004182,0.9854,0.95,1414.0,0.002,0.8083,0.006223,,,,,,
Oithona similis,0.02074,0.7799,0.95,996.7,0.002,0.8083,0.008829,,,,,,
Calanus sinicus,0.02324,0.5915,0.95,1060.0,0.002,0.7908,,,,,,,
Eurytemora affinis,0.02023,0.9383,0.95,1400.0,0.002,0.8083,0.006284,,,,,,
Temora longicornis,0.02886,0.9841,0.9994,1530.0,0.002,0.8132,0.005716,,,,,,
Lepeophtheirus salmonis,0.01865,0.9803,0.95,99.72,0.002,0.8018,0.08895,,,,,,
Boreomysis microps,0.02188,0.9,0.95,131.4,0.002,0.801,0.06757,,,,,,
Gastrosaccus roscoffensis,0.01908,0.9,0.95,1206.0,0.002,0.7999,,,,,,,
Americamysis almyra,0.0201,0.9737,0.95,427.7,0.002,0.8083,,,,,,,
Americamysis bahia,0.01064,0.9121,0.95,2097.0,0.1706,0.8229,0.3515,,,,,,
Leptomysis lingvura,0.006125,0.9,0.95,1724.0,0.002,0.8006,,,,,,,
Metamysidopsis elongata,0.004321,0.8317,0.95,5296.0,0.002,0.8083,0.001662,,,,,,
Hemimysis speluncola,0.00942,0.9,0.95,979.7,0.002,0.8005,,,,,,,
Mysis mixta,0.01409,0.6483,0.95,400.0,0.002,0.8083,,,,,,,
Neomysis integer,0.01517,0.9823,0.95,968.2,0.002,0.8004,,,,,,,
Praunus flexuosus,0.01178,0.992,0.95,478.0,0.002,0.8,,,,,,,
Asellus aquaticus,0.009754,0.9089,0.95,527.6,0.002,0.8024,0.0168,,,,,,
Excirolana armata,0.006275,0.609,0.95,46.2,0.002,0.8024,,,,,,,
Excirolana braziliensis,0.02023,0.9343,0.95,21.18,0.002,0.8006,,,,,,,
Porcellio scaber,0.08356,0.8634,0.95,59.85,0.002,0.8298,,,,,,,
Dynamene bidentata,0.02065,0.6664,0.95,250.1,0.002,0.8005,,,,,,,
Tylos capensis,0.0194,0.9825,0.95,15.39,0.002,0.7993,,,,,,,
Corophium volutator,0.01635,0.9132,0.95,31.32,0.002,0.8055,,,,,,,
Monocorophium insidiosum,0.04283,0.7641,0.95,611.2,0.002,0.7991,,,,,,,
Jassa falcata,0.02253,0.9344,0.95,303.4,0.002,0.7979,0.02938,,,,,,
Dikerogammarus villosus,0.0135,0.8043,0.95,953.7,0.002,0.8003,,,,,,,
Gammarus fossarum,0.009577,0.8812,0.95,464.9,0.002,0.799,0.01915,,,,,,
Gammarus pseudolimnaeus,0.0151,0.9133,0.95,124.0,0.002,0.8017,,,,,,,
Gammarus pulex,0.01776,0.8942,0.95,323.4,0.002,0.7987,0.02754,,,,,,
Gammarus roeselii,0.01385,0.8279,0.95,398.6,0.002,0.8136,0.02193,,,,,,
Marinogammarus marinus,0.002058,0.7037,0.95,51.4,0.002,0.8018,0.1726,,,,,,
Arcitalitrus dorrieni,0.009962,0.8141,0.95,49.74,0.002,0.8012,,,,,,,
Hyalella azteca,0.01708,0.8754,0.95,285.3,0.002,0.8017,,,,,,,
Hyperia galba,0.01075,0.8737,0.95,648.5,0.002,0.8031,,,,,,,
Hyperoche medusarum,0.02672,0.9957,0.95,4342.0,0.002,0.7993,,,,,,,
Paramoera walkeri,0.02027,0.9228,0.95,165.2,0.002,0.801,,,,,,,
Euphausia superba,0.06037,0.8946,0.95,452.6,0.002,0.8083,,,,,,,
Meganyctiphanes norvegica,0.06913,0.8645,0.95,152.5,0.002,0.8083,,,,,,,
Nyctiphanes australis,0.02466,0.5017,0.95,638.1,0.002,0.8,,,,,,,
Aristeus antennatus,0.02308,0.8979,0.95,234.2,0.002,0.8005,,,,,,,
Gennadas elegans,0.01983,0.9,0.95,108.3,0.002,0.8015,0.08198,,,,,,
Xiphopenaeus kroyeri,0.02967,0.9905,0.95,192.1,0.002,0.8014,,,,,,,
Litopenaeus stylirostris,0.02067,0.9867,0.95,62.86,0.002,0.8019,,,,,,,
Penaeus japonicus,0.02823,0.8834,0.95,1567.0,0.002,0.7969,0.005696,,,,,,
Penaeus semisulcatus,0.02117,0.9616,0.95,25.12,0.002,0.8012,,,,,,,
Fenneropenaeus chinensis,0.01915,0.9383,0.95,3156.0,0.002,0.8019,0.00281,,,,,,
Haliporoides sibogae,0.02341,0.9182,0.95,101.5,0.002,0.8015,,,,,,,
Paratya australiensis,0.02351,0.9735,0.95,652.4,0.002,0.8002,,,,,,,
Chorismus antarcticus,0.01713,0.9257,0.95,167.9,0.002,0.8009,,,,,,,
Pandalus borealis,0.05881,0.9478,0.95,108.3,0.002,0.7786,,,,,,,
Dichelopandalus bonnieri,0.02032,0.8605,0.95,180.3,0.002,0.8007,,,,,,,
Heterocarpus reedi,0.02064,0.9,0.95,89.35,0.002,0.8013,,,,,,,
Palaemonetes pugio,0.02071,0.9917,0.95,297.2,0.002,0.8005,,,,,,,
Palaemonetes varians,0.02187,0.9953,0.95,293.0,0.002,0.8004,,,,,,,
Palaemon elegans,0.01748,0.9876,0.95,66.63,0.002,0.8018,,,,,,,
Macrobrachium americanum,0.01512,0.847,0.95,9.497,0.001,0.7964,0.4702,,,,,,
Macrobrachium digueti,0.0201,0.9915,0.95,22.24,0.001,0.8008,0.1997,,,,,,
Macrobrachium hancocki,0.02275,0.9038,0.95,12.92,0.001,0.8035,0.3426,,,,,,
Macrobrachium occidentale,0.02275,0.9554,0.95,32.38,0.001,0.7918,0.1387,,,,,,
Macrobrachium panamense,0.02275,0.9542,0.95,30.61,0.001,0.7979,0.1456,,,,,,
Macrobrachium tenellum,0.02275,0.8445,0.95,7.289,0.001,0.7986,0.611,,,,,,
Macrobrachium vollenhovenii,0.0241,0.9762,0.95,24.8,0.002,0.8059,0.3558,,,,,,
Crangon crangon,0.02114,0.7409,0.95,122.4,0.002,0.8029,0.07239,,,,,,
Homarus gammarus,0.02075,0.8958,0.95,24.29,0.002,0.8083,0.3623,,,,,,
Homarus americanus,0.004276,0.4048,0.95,65.78,0.002,0.8003,0.1351,,,,,,
Astacus astacus,0.02285,0.9062,0.95,42.62,0.002,0.8017,,,,,,,
Pacifastacus leniusculus,0.04727,0.9136,0.95,56.62,0.002,0.8183,,,,,,,
Austropotamobius torrentium,0.03048,0.9491,0.95,25.05,0.002,0.8006,,,,,,,
Orconectes eupunctus,0.02797,0.9803,0.95,1094.0,0.002,0.8002,,,,,,,
Orconectes neglectus,0.0337,0.9879,0.95,935.8,0.002,0.8003,,,,,,,
Procambarus clarkii,0.02045,0.9854,0.95,4632.0,0.002,0.8,,,,,,,
Procambarus viaeviridis,0.02485,0.6903,0.95,172.9,0.002,0.8006,,,,,,,
Procambarus virginalis,0.01169,0.8424,0.95,119.1,0.002,0.7963,,,,,,,
Panulirus versicolor,0.02096,0.7494,0.95,26.88,0.002,0.8012,,,,,,,
Jasus lalandii,0.01879,0.931,0.95,14.43,0.002,0.7952,,,,,,,
Pleuroncodes monodon,0.02064,0.9,0.95,129.3,0.002,0.801,,,,,,,
Cervimunida johni,0.02048,0.9,0.95,84.47,0.002,0.8014,,,,,,,
Paralithodes camtschaticus,0.02306,0.5169,0.95,66.71,0.002,0.8009,,,,,,,
Pagurus bernhardus,0.02051,0.9999,0.95,94.24,0.002,0.8083,,,,,,,
Birgus latro,0.01162,0.7625,0.95,2.026,0.0001377,0.8083,0.2992,,,,,,
Cancer pagurus,0.01997,0.9455,0.95,63.54,0.002,0.8015,,,,,,,
Macrocheira kaempferi,0.03322,0.9519,0.95,13.1,0.002,0.8083,,,,,,,
Hyas coarctatus,0.0211,0.9762,0.95,29.33,0.002,0.8083,,,,,,,
Chionoecetes opilio,0.01971,0.7017,0.95,14.55,0.002,0.8083,,,,,,,
Carcinus maenas,0.02355,0.9851,0.95,86.64,0.002,0.8083,,,,,,,
Charybdis bimaculata,0.02209,0.975,0.95,70.59,0.002,0.8016,,,,,,,
Portunus trituberculatus,0.004086,0.9998,0.95,433.8,0.002,0.8,,,,,,,
Eriphia verrucosa,0.01807,0.7817,0.95,6.31,0.0004175,0.7832,0.3005,,,,,,
